Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94,sample,female,earnph,agesq
157221,2001607096191,July,AL,3134.8347,1423.0,40,44,1,,48,2,4,2,4,"Native, Born In US",6,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-Absent,1.0,1,35.575,2304
157884,120741093401189,July,AZ,3718.2692,553.84,40,44,1,,48,2,1,2,10,"Native, Born In US",8,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1.0,1,13.846,2304
157924,711001450400181,July,AZ,3723.2582,760.0,40,44,1,,64,2,1,0,0,"Native, Born In US",8,Elementary and secondary schools (6111),2330,"Private, For Profit",No,No,Employed-Absent,1.0,1,19.0,4096
157930,840473120706502,July,AZ,3075.3958,1052.63,40,44,1,,41,1,5,0,0,"Native, Born In US",8,Elementary and secondary schools (6111),2320,Government - Local,No,Yes,Employed-Absent,1.0,0,26.31575,1681
157943,5220540991595,July,AZ,4138.5997,961.53,40,46,1,1.0,38,1,7,0,0,"Native, Born In US",8,"Colleges and universities, including junior colleges (6112, 6113)",2200,Government - Local,No,Yes,Employed-Absent,1.0,0,24.038249999999998,1444
158060,100500000890412,July,AR,2063.1716,553.0,40,45,1,,44,2,1,0,0,"Native, Born In US",7,"Other schools, instruction, and educational services (6116, 6117)",2340,Government - Federal,Yes,,Employed-At Work,1.0,1,13.825,1936
158107,665120301210001,July,AR,1031.9892,760.0,40,46,1,,62,2,1,0,0,"Native, Born In US",7,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1.0,1,19.0,3844
158227,20860550692590,July,AR,1965.8795,900.0,55,44,1,,41,2,2,4,14,"Native, Born In US",7,Elementary and secondary schools (6111),2320,Government - State,No,No,Employed-Absent,1.0,1,16.363636363636363,1681
158303,815910501590009,July,AR,764.8657,1057.0,40,45,1,,51,1,7,0,0,"Native, Born In US",7,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Private, For Profit",No,No,Employed-Absent,1.0,0,26.425,2601
158393,610215983133,July,CA,3015.9434,2692.0,40,46,1,,64,1,1,0,0,"Foreign Born, US Cit By Naturalization",9,"Colleges and universities, including junior colleges (6112, 6113)",2200,Government - State,No,No,Employed-Absent,1.0,0,67.3,4096
158481,7011601019611,July,CA,2715.4758,451.2,32,44,1,,47,2,1,1,4,"Foreign Born, US Cit By Naturalization",9,Elementary and secondary schools (6111),2320,"Private, For Profit",No,No,Employed-Absent,1.0,1,14.1,2209
158560,36194201520002,July,CA,3259.2298,750.0,25,44,1,,31,2,7,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2320,Government - State,No,No,Employed-At Work,1.0,1,30.0,961
